Protein.Ids	-Log(P-value)	Difference
A0A1L1SV73	0.7643146194213265	0.711471557617188
A2A9Z2	0.6648396847174867	-1.39913145701091
E9Q374	0.6818743802202869	0.647672017415367
A0A1W2P7Q6	0.9446814311934448	-0.257867177327473
A0A1W2P7S8	0.8535261319143057	-0.628939310709637
A0A1W2P872	0.7469018101076218	-1.06940333048503
E9QA61	0.5835391120920247	-1.6991294225057
A0A1W2P8C0	0.9242142561691151	-0.218889236450195
Q8BHN7	0.6687806696863052	-0.118323008219399
A0A1Y7VIR0	0.7067892812327262	-0.30615234375
A0A1Y7VNG9	0.7319546153665596	-1.11944643656413
E9Q9B7	0.6762466743152005	-0.34209378560384
Q68FG1	0.5718605062593903	-1.13147989908854
A0A1Y7VNZ0	0.6384327066274306	-0.407106399536133
A0A1Y7VP67	0.818415141448699	-0.578037261962891
A0A286YCN8	0.961873607825479	-0.224379539489746
E9Q4K7	0.7551496626023821	-0.372069676717125
A0A286YCX6	0.6215330106500397	-0.322386423746746
A0A286YCY3	0.8118548197333706	-0.444694519042969
A0A286YDU2	0.7345701193875942	-1.24685033162435
E9QAP7	0.6705961595070898	-0.587734222412109
A0A2I3BPX0	0.6079336416205916	-1.52118810017904
A0A2I3BRL0	0.8401726137724972	0.40019925435384
A0A2I3BR92	0.5726184473510874	-1.42890167236328
Q8BGC1	0.46437659949781673	-1.94111633300781
A0A2I3BRM6	0.9731610847006118	-0.172278722127281
E9PZM7	0.7346199094681366	-0.329228083292641
A0A2R8VKN0	0.9590118198651334	0.301671663920086
A0A2R8VHP3	0.807186692729379	-2.11339569091797
A0A2R8VI70	0.8925922470430079	-0.589334487915039
A0A338P6Q3	0.7833370648993911	-0.957344690958656
A0A384DV79	0.8729137583731058	-0.275740941365559
A0A338P6G8	0.8074871259151013	-0.701974232991535
A2BIE1	0.7903941252328313	-0.239524841308594
A0A338P7A1	0.870227117013641	0.898373603820801
A0A338P7C9	0.7021098930233718	-0.489425023396809
E9Q5G8	0.8965620092409181	-0.860100428263348
A0A3B2W824	0.7619315443961006	0.493490854899086
A0A3B2WCL5	0.9888947254781943	0.0403334299723319
Q5XFZ0	0.8059584446755838	0.255767822265625
A0A3Q4EGW0	0.7913098001803806	-0.560625076293945
A0A494B9V8	0.7166065131712093	0.867620468139648
A0A494BAM1	0.9945315278536758	0.0206057230631522
A0A494BB10	0.8216549751316321	-0.489457448323567
A0A494BB75	0.8395604190714825	-0.987797419230144
A0A571BF12	0.8574279391410887	-0.381467183430992
Q6PIU9	0.7806427207575549	0.213809331258137
F6ZHM5	0.7679782123620004	-0.873167037963867
A0A571BF93	0.595350307896718	-2.23142306009929
A0A571BFB2	0.8947870033604023	0.469819068908691
A0A571BG95	0.8348987336753768	-0.196968714396156
A0A5F8MPF2	0.6637855551509046	-0.295190811157227
Q3UGX8	0.8050437175193267	-0.238735834757485
A0A5F8MPP0	0.8947982709502342	-0.331535339355469
A0A5H1ZRL3	0.9359966213021693	0.266088485717773
A0A668KL97	0.2382497806272592	0.504368464152016
A0AUP1	0.630107161764486	-0.553113301595054
A1A5B6	0.6525305229854443	-1.37282498677571
A1BN54	0.8796030422962589	0.169895807902019
A2A3V1	0.608105298553136	-1.37960020701091
A2A432	0.9611187463365155	-0.029822667439781
Q05BA5	0.490729548760348	-2.04759343465169
Q3U1M7	0.5706799479998458	-0.161518732706703
A2A4P0	0.9589953349310577	0.0330568949381522
A2A5K6	0.7623626688112681	-0.746922175089516
A2A5R2	0.7479388554593263	-1.1586742401123
V9GX87	0.7594915913763514	-0.763271967569988
A2A5Z6	0.8349750313466268	-0.605200449625652
A2A6A1	0.9669050543903225	-0.0679486592610665
A2A6H1	0.881248684101164	0.260828018188477
A2A6M5	0.5800446309606438	-0.921689987182617
A2A6Q5	0.8562356850678357	0.108750661214192
A2A791	0.8818453468587143	0.139188130696617
B1ASQ7	0.7361379859533513	-0.354230880737305
A2A7B5	0.6709915569901925	-1.19255129496256
E9Q532	0.9434444670085702	-0.223264694213867
A2A7I1	0.960119416397216	-0.144359588623047
A2A7Q9	0.6751437626203626	-1.41092173258464
Q91WQ3	0.8676397416365061	-0.0503597259521484
A2A7S8	0.9612258940721807	0.024415334065754
A2A863	0.9071319544137367	0.339479446411133
A2A8L5	0.660731855113593	-0.759648005167641
A8Y5G5	0.7742524424264623	-0.845670700073242
A2A8U2	0.9567211163470171	0.328692118326821
A2A8Z1	0.7572025671684317	-0.567190806070965
A2A9C3	0.9678518716836121	-0.147499720255535
A2A9J5	0.9526524816152433	-0.102895100911461
A2A9T0	0.8729623667747629	-0.715533892313637
A2ABV5	0.5134334033727904	-0.591346104939777
A2ACJ2	0.9335093952429223	-0.395589510599773
A2ACQ1	0.8584638556784608	-0.137165069580078
A2ACV6	0.7635434991009883	-1.09666760762533
A2ADA5	0.9439537570770857	-0.24311129252116
A2ADY9	0.7951335835829935	-0.528873443603516
A2AE27	0.8665187624507608	-0.415825525919598
A2AF34	0.7812449665515704	-0.546337127685547
A2AF47	0.7108798451770619	0.189503351847332
A2AFI6	0.9656307559952972	0.0494524637858085
A2AFQ2	0.782409936888952	-0.42435582478841
A2AG50	0.6776634227492201	-0.672871271769207
A2AG58	0.7519863338685456	-0.530078252156574
A2AGH6	0.6647175404192257	-0.748075485229492
A2AGT5	0.5593189371891245	-0.31878662109375
A2AH22	0.8324464468095414	-0.274382909139
A2AHC3	0.7828566234812968	-0.990042368570965
A2AHJ4	0.7240799578437803	-0.526379267374672
A2AI05	0.480768755022776	-1.62140401204427
A2AI08	0.42382101722374177	-0.28058369954427
A2AIE6	0.9956558277704043	-0.0214004516601563
A2AIM4	0.987968900545159	0.0567855834960938
A2AIV2	0.8324164075727493	0.304868698120117
A2AJ15	0.5632434466304966	-0.47917366027832
A2AJ72	0.7887162217798034	0.372156778971355
A2AJI0	0.6572162968430821	-0.421215057373047
A2AJN7	0.8356303041781408	-0.539597193400066
A2AJT4	0.9143477806978316	0.0411256154378243
A2AKG8	0.7529911844423198	-0.799224217732746
Q99J38	0.9591063587944647	-0.110101064046226
A2AKX3	0.9427900243045888	-0.0336729685465507
A2AL36	0.853215879494343	-0.726537068684895
A2ALK8	0.6864929636561602	-1.5035727818807
A2ALU4	0.8591287261226366	-0.180465698242188
A2ALW2	0.8163582063341325	-1.14807605743408
A2AMW0	0.9440660816164089	0.313334782918297
A2AN08	0.7263375469781825	-0.313276290893555
F7AT58	0.8125515773612303	-0.540842692057289
J3QMC5	0.7751289633499491	-0.267502466837563
Q6DFW0	0.9966232173497953	-0.0209674835205078
A2APB8	0.7241542840137372	0.581511815389
A2APV2	0.6070740188975746	-1.11545562744141
A2APY7	0.8375220745371312	-0.267100652058922
A2AQ19	0.7493452938040196	-0.536135355631512
A2AQ25	0.7422324768667767	0.435733795166016
A2AQA1	0.8322727282238006	-0.91565545399984
A2AQH4	0.8719950205908252	-0.723026275634766
A2AQN0	0.9045156065850899	-0.219971338907879
A2AQP0	0.7341949481307153	-0.822221755981445
A2AR02	0.7012605631137867	0.598416010538735
A2ARV4	0.9712147335024701	-0.142207463582356
A2AW66	0.7499381307453982	-0.921588897705078
A2ARW3	0.5865338241914303	-0.953888575236
A2ASQ1	0.7235337662548843	-0.347419102986656
A2ASS6	0.8688838932533628	-0.254900614420574
A2ASZ8	0.7715186501342858	-0.366611480712891
A2AT37	0.7750736160207462	-0.217266718546551
A2AT91	0.9531533433079564	0.2286376953125
A2ATU0	0.8604558893369165	-0.516595840454102
A2ATY4	0.9631622236646753	-0.09441312154134
A2ANU6	0.9037741938297015	-0.409455617268879
A2AUK8	0.9194041581083088	0.303983052571613
A2AUM9	0.794536742536675	-0.840564092000324
A2AUU0	0.9988823488948171	-0.0053888956705741
A2AWA9	0.4328769388579243	-0.194119135538738
A2AWF2	0.8907796563789978	-0.511765797932942
A2AWL7	0.7932043238648075	0.56285794576009
V9GX45	0.972258127136853	-0.0632540384928362
A2AWT3	0.8895298572372967	-0.537839253743492
A2AWT7	0.927445925974752	-0.122198104858398
A2BDX3	0.931777693470917	-0.0601717631022147
A2BE28	0.745666975383267	-0.299807230631512
A2BFG8	0.8815967669224314	-0.619058609008789
A2BFL2	0.9477213227456966	0.197994232177734
A2BGI8	0.9296075163405223	0.124626795450848
A2BH40	0.7074930982417506	0.583688100179039
G5E8W8	0.8414018001980307	-0.664831797281899
A2BI46	0.9985168698515926	-0.00654157002766809
A2CG49	0.858177100617894	-0.654059727986656
A2CG63	0.8670574127577116	-0.528880437215168
A2CG76	0.7250249768248347	-0.491808573404949
A2RSJ4	0.9342069740381737	0.197371800740559
A2RSX7	0.867182722210565	-0.557037353515625
E9Q3G5	0.9449655719719121	-0.0374177296956368
