Protein.Ids	-Log(P-value)	Difference
A0A286YCX6	0.5999623524730946	-0.403355916341148
A0A286YCY3	0.9535073512704196	0.0947113037109375
A0A286YDU2	0.8933164426698886	-0.567475318908691
E9QAP7	0.9980328229148349	-0.00432904561360559
A0A2I3BPX0	0.8696274550495694	-0.503246943155926
A0A2I3BRL0	0.8301366813385509	-1.02036285400391
A0A2I3BR92	0.8100671536911821	-0.659936269124348
Q8BGC1	0.9988630574934152	0.00429979960123816
A0A2I3BRM6	0.8837954149243501	-0.620368321736656
E9PZM7	0.859933172292845	0.220317840576172
A0A2R8VKN0	0.8509839803923732	0.712951978047691
A0A2R8VHP3	0.9867626917934519	0.166537602742512
A0A2R8VI70	0.8715335170796558	-0.685235341389973
A0A338P6Q3	0.8706759367501562	-0.565390268961586
A0A384DV79	0.6974381459238105	-0.9481201171875
A0A338P6G8	0.7143790109457652	-1.04477246602376
A2BIE1	0.666877375787666	-1.02153396606445
A0A338P7A1	0.862906718643859	0.874210993448891
A0A338P7C9	0.36532699494218107	-0.844935735066731
E9Q5G8	0.934310409539529	0.458594957987469
A0A3B2W824	0.9575927031298079	-0.148525873819988
A0A3B2WCL5	0.8990647764112131	-0.356599171956379
Q5XFZ0	0.8446399613137918	-0.385892232259113
A0A3Q4EGW0	0.696652173086058	-0.754524230957031
A0A494B9V8	0.9932036701732787	-0.029564539591469
A0A494BAM1	0.9296510151146392	-0.410127639770508
A0A494BB10	0.7987558825094635	-0.538737614949543
A0A494BB75	0.9345847319986834	-0.451549847920734
A0A571BF12	0.9820539961175917	-0.0667476654052734
Q6PIU9	0.6750802217695184	0.47588284810384
F6ZHM5	0.9990634762255111	0.00455220540364465
A0A571BF93	0.920669395411818	-0.509688059488933
A0A571BFB2	0.9565179087035793	0.215034802754722
A0A571BG95	0.8652195871488911	-0.411153793334961
A0A5F8MPF2	0.710930718968229	-0.415392557779949
Q3UGX8	0.8731170951691014	0.25808652242025
A0A5F8MPP0	0.8897088970513716	-0.433666865030926
A0A5H1ZRL3	0.4890984446751078	1.45919863382975
A0A668KL97	0.9106175095335318	-0.224611282348633
A0AUP1	0.7394721927292429	-0.613060633341473
A1A5B6	0.782624358673027	-0.851008733113606
A1BN54	0.4997032244468823	-0.656953175862629
A2A3V1	0.8526437715513298	-0.476555506388348
A2A432	0.7021938870034409	-0.296916325887047
Q05BA5	0.7872480313586329	-0.461229960123696
Q3U1M7	0.9859468404492865	0.0072682698567732
A2A4P0	0.7818864855602728	0.181056976318359
A2A5K6	0.931587722924206	-0.234340667724609
A2A5R2	0.6862479429951325	-1.4826119740804
V9GX87	0.8479112332352835	-0.524414698282879
A2A5Z6	0.7796475112859801	-0.969762802124023
A2A6A1	0.6759573291980407	0.514493306477863
