"","protein","k"
"UGP2.1","UGP2.1",8
"GNPDA1","GNPDA1",8
"AHCY","AHCY",8
"MTHFD1","MTHFD1",8
"NQO2","NQO2",8
"PHGDH","PHGDH",8
"RPL10A","RPL10A",8
"TARS1","TARS1",8
"SYPL1.1","SYPL1.1",8
"RPS15","RPS15",8
"RPS13","RPS13",8
"RPS11","RPS11",8
"RPS27","RPS27",8
"RPL14","RPL14",8
"RPL13A","RPL13A",8
"EEF1E1","EEF1E1",8
"RPL10.1","RPL10.1",8
"PFN1","PFN1",8
"NUDC","NUDC",8
"RPL23A","RPL23A",8
"PABPC4.1","PABPC4.1",8
"STRAP","STRAP",8
"RPS8","RPS8",8
"RPL7A","RPL7A",8
"ENO1","ENO1",8
"EPS15","EPS15",8
"ECHDC1","ECHDC1",8
"RBBP7.1","RBBP7.1",8
"NME1","NME1",8
"RPL12","RPL12",8
"RPS2","RPS2",8
"EEF1A1","EEF1A1",8
"RPS3A","RPS3A",8
"DPH2","DPH2",8
"PFN2","PFN2",8
"PROSER1","PROSER1",8
"SDF4","SDF4",8
"SH3GL1","SH3GL1",8
"ZNF281","ZNF281",8
"SNX5","SNX5",8
"RPAP3","RPAP3",8
"RRBP1","RRBP1",8
"TAF4","TAF4",8
"TTC1","TTC1",8
"G3BP1","G3BP1",8
"BTF3.1","BTF3.1",8
"RPL24","RPL24",8
"RPL5","RPL5",8
"ETF1","ETF1",8
"GLRX3","GLRX3",8
"HSPA4","HSPA4",8
"ATIC","ATIC",8
"CHORDC1","CHORDC1",8
"BLVRB","BLVRB",8
"TFCP2","TFCP2",8
"STRN3.1","STRN3.1",8
"DDX1","DDX1",8
"PSMA6","PSMA6",8
"SGTA","SGTA",8
"SNX6","SNX6",8
"TXNL1","TXNL1",8
"TRUB1","TRUB1",8
"PSMC1","PSMC1",8
"HCFC1.1","HCFC1.1",8
"GAPDH","GAPDH",8
"MSN","MSN",8
"APIP","APIP",8
"VASP","VASP",8
"G3BP2","G3BP2",8
"PRRC2A","PRRC2A",8
"SIRT1","SIRT1",8
"FBXO2","FBXO2",8
"TKT","TKT",8
"NAMPT","NAMPT",8
"MYH10","MYH10",8
"PAPSS1","PAPSS1",8
"GPX4","GPX4",8
"PTMA","PTMA",8
"MACF1.1","MACF1.1",8
"PHPT1","PHPT1",8
"TJP2","TJP2",8
"AGFG1","AGFG1",8
"ELOC","ELOC",8
"WDR12","WDR12",8
"ADRM1.1","ADRM1.1",8
"MYL6","MYL6",8
"ARPC5L","ARPC5L",8
"SNRNP70","SNRNP70",8
"RBBP4.1","RBBP4.1",8
"FRG1","FRG1",8
"PSMA5","PSMA5",8
"MDH1.1","MDH1.1",8
"CAP1","CAP1",8
"UBE2M","UBE2M",8
"PGK1","PGK1",8
"GSTP1","GSTP1",8
"ST13","ST13",8
"DSTN","DSTN",8
"NAP1L4","NAP1L4",8
"UBL7","UBL7",8
"TAGLN2","TAGLN2",8
"HNRNPD.1","HNRNPD.1",8
"TXNDC12","TXNDC12",8
"NDUFB10","NDUFB10",8
"HDGFL2","HDGFL2",8
"ZNF775","ZNF775",8
"KTN1","KTN1",8
"PRDX3","PRDX3",8
"HSP90B1.1","HSP90B1.1",8
"SURF6","SURF6",8
"NIFK","NIFK",8
"BCAT1","BCAT1",8
"PCBP3","PCBP3",8
"PSMD7","PSMD7",8
"ILF3.1","ILF3.1",8
"YWHAZ","YWHAZ",8
"ADH5","ADH5",8
"MRPL45","MRPL45",8
"PPIB","PPIB",8
"GFM1","GFM1",8
"CPSF6","CPSF6",8
"IGF2BP1","IGF2BP1",8
"FAM76B","FAM76B",8
"DYNC1LI2","DYNC1LI2",8
"MDH2","MDH2",8
"VDAC2","VDAC2",8
"STAU2","STAU2",8
"OCIAD2","OCIAD2",8
"MTX2","MTX2",8
"ABRACL","ABRACL",8
"CFAP298","CFAP298",8
"PLPBP","PLPBP",8
"RAN","RAN",8
"ENY2","ENY2",8
"HMGB3","HMGB3",8
"PSME1","PSME1",8
"MRRF","MRRF",8
"C1GALT1","C1GALT1",8
"METTL7A","METTL7A",8
"SMPDL3B","SMPDL3B",8
"NDC1","NDC1",8
"MYO1D","MYO1D",8
"NSMCE1","NSMCE1",8
"NT5DC1","NT5DC1",8
"PDCD7","PDCD7",8
"L2HGDH","L2HGDH",8
"BCAT2","BCAT2",8
"FKBP5","FKBP5",8
"SMAD2","SMAD2",8
"HCCS","HCCS",8
"PARP1","PARP1",8
"HSD17B4","HSD17B4",8
"ARID2","ARID2",8
"EPRS1","EPRS1",8
"EEF1G","EEF1G",8
"CTPS2","CTPS2",8
"EXOSC9","EXOSC9",8
"XRCC5","XRCC5",8
"XRCC6","XRCC6",8
"EIF2B1","EIF2B1",8
"RPS27L","RPS27L",8
"MAIP1","MAIP1",8
"NOP56","NOP56",8
"NOP58","NOP58",8
"RRP1B","RRP1B",8
"RPF2","RPF2",8
"LRPPRC","LRPPRC",8
"PBRM1","PBRM1",8
"THOC1","THOC1",8
"PDPR","PDPR",8
"OSTC","OSTC",8
"RPN1","RPN1",8
"PGRMC2","PGRMC2",8
"TM9SF2","TM9SF2",8
"USP9Y","USP9Y",8
"WNK3","WNK3",8
"GNL3L","GNL3L",8
"GNL2","GNL2",8
"HIP1","HIP1",8
"DDX56","DDX56",8
"DDX18","DDX18",8
"RRP1","RRP1",8
"RSL1D1","RSL1D1",8
"UTP15","UTP15",8
"SLC3A2","SLC3A2",8
"TMEM237","TMEM237",8
"HSD11B2","HSD11B2",8
"UTP4","UTP4",8
"WDR36","WDR36",8
"SPTLC2","SPTLC2",8
"NOC4L","NOC4L",8
"AASS","AASS",8
"TRIM24","TRIM24",8
"ARRB2","ARRB2",8
"TERF1","TERF1",8
"IRF2BP2","IRF2BP2",8
"RNF113A","RNF113A",8
"HSPA13","HSPA13",8
"GNB4","GNB4",8
"ZFYVE1","ZFYVE1",8
"P4HB","P4HB",8
"SRP14","SRP14",8
"VDAC1","VDAC1",8
"ENPP7","ENPP7",8
"HNRNPR","HNRNPR",8
"SMARCB1.1","SMARCB1.1",8
"IDH3A","IDH3A",8
"FSCN1","FSCN1",8
"ARHGEF7.1","ARHGEF7.1",8
"AKAP8L","AKAP8L",8
"DPYSL2.1","DPYSL2.1",8
"ACO2","ACO2",8
"TP53BP1","TP53BP1",8
"CRTC1","CRTC1",8
"DYRK1A","DYRK1A",8
"GGA1","GGA1",8
"LAMA1","LAMA1",8
"ARHGAP32","ARHGAP32",8
"DKC1","DKC1",8
"ITGB1","ITGB1",8
"SLC35B2","SLC35B2",8
"SEH1L","SEH1L",8
"TIMM44","TIMM44",8
"HNRNPUL1","HNRNPUL1",8
"STRBP","STRBP",8
"ACTB.1","ACTB.1",8
"SMU1","SMU1",8
"ACOT8","ACOT8",8
"GLS.1","GLS.1",8
"ME2","ME2",8
"ECI1","ECI1",8
"UBXN4","UBXN4",8
"CDC42","CDC42",8
"VAPA","VAPA",8
"GUF1","GUF1",8
"NARS2","NARS2",8
"STT3B","STT3B",8
"RAB6A","RAB6A",8
"CSNK1E","CSNK1E",8
"RAP2B","RAP2B",8
"VAPB","VAPB",8
"TOP2B.1","TOP2B.1",8
"ASAH1","ASAH1",8
"PIP4K2B","PIP4K2B",8
"EMC7","EMC7",8
"GLUL","GLUL",8
"APBB2","APBB2",8
"RBM17","RBM17",8
"APOOL","APOOL",8
"TMEM167A","TMEM167A",8
"CBX1","CBX1",8
"COX5B","COX5B",8
"SH3BGRL3","SH3BGRL3",8
"RAB5B","RAB5B",8
"NAGA","NAGA",8
"TMED7","TMED7",8
"FAM241B","FAM241B",8
"COTL1","COTL1",8
"MECP2","MECP2",8
"IDH2","IDH2",8
"DYNLT1","DYNLT1",8
"RALY","RALY",8
"HNRNPK.1","HNRNPK.1",8
"ZIC2","ZIC2",8
"EPCAM","EPCAM",8
"DNMT3B","DNMT3B",8
"PODXL","PODXL",8
"L1TD1","L1TD1",8
"RBPMS2","RBPMS2",8
"SPART","SPART",8
"DSG2","DSG2",8
"JADE1","JADE1",8
"VCAN","VCAN",8
"PPM1H","PPM1H",8
"PAWR","PAWR",8
"RBPMS.1","RBPMS.1",8
"CDCA5","CDCA5",8
"YAP1","YAP1",8
"DLGAP5","DLGAP5",8
"RRM2","RRM2",8
"TTK","TTK",8
"STK26","STK26",8
"SALL4","SALL4",8
"TOP2A","TOP2A",8
"CHEK1","CHEK1",8
"TRIP6","TRIP6",8
"RNF138","RNF138",8
"PRKAR1B","PRKAR1B",8
"LARP4","LARP4",8
"YBX3","YBX3",8
"CEP131","CEP131",8
"REXO2","REXO2",8
"RCC2","RCC2",8
"PUS7","PUS7",8
"TGS1","TGS1",8
"LARP1","LARP1",8
"DDX21","DDX21",8
"EPB41L2.1","EPB41L2.1",8
"PLCB3","PLCB3",8
"RAB11FIP1","RAB11FIP1",8
"ADD3","ADD3",8
"RIF1","RIF1",8
"SLC1A5","SLC1A5",8
"HLA-C.2","HLA-C.2",8
"FLNB","FLNB",8
"FLNA","FLNA",8
"PLS3","PLS3",8
"SHMT1","SHMT1",8
"PCNA","PCNA",8
"CBS","CBS",8
"PSAT1","PSAT1",8
"ADSS2","ADSS2",8
"ISYNA1","ISYNA1",8
"LIG1","LIG1",8
"KPNA2","KPNA2",8
"UCK2","UCK2",8
"VCL","VCL",8
"SNAP23","SNAP23",8
"PDLIM1","PDLIM1",8
"CNN2","CNN2",8
"PDLIM7","PDLIM7",8
"NCAPG2","NCAPG2",8
"TTF2","TTF2",8
"ERCC6L","ERCC6L",8
"CARMIL1","CARMIL1",8
"SPAG5","SPAG5",8
"SEPTIN8","SEPTIN8",8
"PTPRT","PTPRT",8
"AKAP11","AKAP11",8
"GXYLT1","GXYLT1",8
"TGM2","TGM2",8
"MEIS1","MEIS1",8
"ZNF335","ZNF335",8
"TRIM23","TRIM23",8
"DAB2","DAB2",8
"RPP40","RPP40",8
"RIMS2","RIMS2",8
"DEGS1","DEGS1",8
"RIMS2.1","RIMS2.1",8
"UGCG","UGCG",8
"SLC26A6","SLC26A6",8
"SRGAP2C","SRGAP2C",8
"IPMK","IPMK",8
"COL15A1","COL15A1",8
"DXO","DXO",8
"GTF2IRD1","GTF2IRD1",8
"ZBTB12","ZBTB12",8
"GPC1","GPC1",8
"RRAS","RRAS",8
"SLC16A3","SLC16A3",8
"TDRKH","TDRKH",8
"EPG5","EPG5",8
"LARP1B.1","LARP1B.1",8
"FBXO28","FBXO28",8
"MAN1A1","MAN1A1",8
"USP40","USP40",8
"GSTM5","GSTM5",8
"MFSD3","MFSD3",8
"RPUSD1","RPUSD1",8
"TMEM131L","TMEM131L",8
"OSTF1","OSTF1",8
"ADCY3","ADCY3",8
"CCSMST1","CCSMST1",8
"KBTBD4","KBTBD4",8
"CACNA1C","CACNA1C",8
"PIEZO1","PIEZO1",8
"SREBF1","SREBF1",8
"MAST3","MAST3",8
"POGK","POGK",8
"GATAD1","GATAD1",8
"EPHA3","EPHA3",8
"FRYL","FRYL",8
"PARD3","PARD3",8
"RFK","RFK",8
"SSC4D","SSC4D",8
"DISP1","DISP1",8
"NSG2","NSG2",8
"LYRM4","LYRM4",8
"SLC37A1","SLC37A1",8
"GAL","GAL",8
"PCDH1","PCDH1",8
"IGSF9","IGSF9",8
"PBX1","PBX1",8
"STOX2","STOX2",8
"EGFR","EGFR",8
"RFNG","RFNG",8
"MINDY2","MINDY2",8
"ZBED4","ZBED4",8
"CNTNAP3","CNTNAP3",8
"SLC22A18","SLC22A18",8
"CYP19A1","CYP19A1",8
"EFNB2","EFNB2",8
"CCDC120","CCDC120",8
"COL5A2","COL5A2",8
"BCAR3","BCAR3",8
"TAB3","TAB3",8
"C1QTNF4","C1QTNF4",8
"BTD","BTD",8
"NTRK3","NTRK3",8
"SERPINB3","SERPINB3",8
"TTC13","TTC13",8
"MXRA5","MXRA5",8
"ATF3","ATF3",8
"RBM42","RBM42",8
"SLC26A2","SLC26A2",8
"KLHL17","KLHL17",8
"CLMP","CLMP",8
"TRIM43","TRIM43",8
"SLIT2","SLIT2",8
"DRD2","DRD2",8
"STIMATE","STIMATE",8
"SLC66A3","SLC66A3",8
"FMN2","FMN2",8
"SLC2A13","SLC2A13",8
"PHYHIPL","PHYHIPL",8
"CCPG1","CCPG1",8
"TSPAN2","TSPAN2",8
"CERS1","CERS1",8
"ZNF800","ZNF800",8
"ZNF136","ZNF136",8
"ZNF234","ZNF234",8
"AMER2","AMER2",8
"RELL1","RELL1",8
"BRMS1","BRMS1",8
"LAMC2","LAMC2",8
"RGL3","RGL3",8
"FBXO5","FBXO5",8
"CTF1","CTF1",8
"ADGRG2","ADGRG2",8
"ZNF551","ZNF551",8
"PAK6","PAK6",8
"KLRG2","KLRG2",8
"NAT8L","NAT8L",8
"EFHD1","EFHD1",8
"FOLH1","FOLH1",8
"GAS7","GAS7",8
"WDR53","WDR53",8
"TC2N","TC2N",8
"TET1","TET1",8
"SLC50A1","SLC50A1",8
"RGPD3","RGPD3",8
"RALYL","RALYL",8
"SUPT4H1","SUPT4H1",8
"STON1","STON1",8
"SLC4A7","SLC4A7",8
"DNAJC25","DNAJC25",8
"TMEM192","TMEM192",8
"ZNF69","ZNF69",8
"MREG","MREG",8
"PCSK1N","PCSK1N",8
"FAM53C","FAM53C",8
"BTBD11","BTBD11",8
"KRT14","KRT14",8
"WWC1","WWC1",8
"FAM169A","FAM169A",8
"GCAT","GCAT",8
"STX7","STX7",8
"MPC2","MPC2",8
"PITPNA","PITPNA",8
"NGLY1","NGLY1",8
"CLYBL","CLYBL",8
"PARD6G","PARD6G",8
"ACSS2","ACSS2",8
"KRT16","KRT16",8
"ATP1A2","ATP1A2",8
"RAB32","RAB32",8
"PRUNE2","PRUNE2",8
"SUPT20H","SUPT20H",8
"COMMD10","COMMD10",8
"PIP4P1","PIP4P1",8
"GTF2A1","GTF2A1",8
"KIF3C","KIF3C",8
"RAP1GAP","RAP1GAP",8
"CCDC82","CCDC82",8
"SPIN2A","SPIN2A",8
"BRPF1","BRPF1",8
"POLB","POLB",8
"ING4","ING4",8
"CPT1C","CPT1C",8
"TOR3A","TOR3A",8
"STXBP5","STXBP5",8
"MRPL32","MRPL32",8
"NECTIN1","NECTIN1",8
"RASAL2","RASAL2",8
"NDUFAF2","NDUFAF2",8
"ZNF644","ZNF644",8
"WDR46","WDR46",8
"IFT27","IFT27",8
"POLR2G","POLR2G",8
"PICALM","PICALM",8
"ACAP2","ACAP2",8
"RAB3B","RAB3B",8
"MTARC1","MTARC1",8
"LARGE1","LARGE1",8
"OGFOD3","OGFOD3",8
"DECR2","DECR2",8
"GPAM","GPAM",8
"SNRNP27","SNRNP27",8
"RASA3","RASA3",8
"GABRB3","GABRB3",8
"CREB1","CREB1",8
"KIAA1671.1","KIAA1671.1",8
"SPICE1","SPICE1",8
"MIEF2","MIEF2",8
"TCF3","TCF3",8
"GEMIN7","GEMIN7",8
"ACD","ACD",8
"BRI3BP","BRI3BP",8
"PRDM14","PRDM14",8
"GSPT2","GSPT2",8
"NR2C2AP","NR2C2AP",8
"MRPS10","MRPS10",8
"C1orf122","C1orf122",8
"ZNF791","ZNF791",8
"COX20","COX20",8
"NHSL1.1","NHSL1.1",8
"NUCKS1","NUCKS1",8
"NIN","NIN",8
"POLR2J","POLR2J",8
"TEFM","TEFM",8
"SLC25A19","SLC25A19",8
"SUDS3","SUDS3",8
"XXYLT1","XXYLT1",8
"OXNAD1","OXNAD1",8
"HMG20A","HMG20A",8
"ZNHIT6","ZNHIT6",8
"DAPK3","DAPK3",8
"CMC2","CMC2",8
"PRKRIP1","PRKRIP1",8
"PPP3R1","PPP3R1",8
"GNPTG","GNPTG",8
"FAM160B2","FAM160B2",8
"KLHL12","KLHL12",8
"COL1A1","COL1A1",8
"CRIP2","CRIP2",2
"PDLIM3","PDLIM3",2
"THSD7A","THSD7A",2
"CELF3","CELF3",2
"SYN2","SYN2",2
"RTN2","RTN2",2
"DACT3","DACT3",2
"CLVS1","CLVS1",2
"CDH6","CDH6",2
"UNC5C","UNC5C",2
"VASH1","VASH1",2
"LSAMP","LSAMP",2
"CNRIP1","CNRIP1",2
"ELAVL4","ELAVL4",2
"SVIP","SVIP",2
"TSC22D3","TSC22D3",2
"GPM6A","GPM6A",2
"GOLGA7B","GOLGA7B",2
"SLC8A2","SLC8A2",2
"STS","STS",2
"STX1A","STX1A",2
"EPB41L4A","EPB41L4A",2
"EPB41L3","EPB41L3",2
"PRPH.1","PRPH.1",2
"P2RX3","P2RX3",2
"SLITRK1","SLITRK1",2
"ANK1","ANK1",2
"ACTL6B","ACTL6B",2
"APLP1","APLP1",2
"KIAA1210","KIAA1210",2
"THSD7B","THSD7B",2
"TMTC4","TMTC4",2
"BMPER","BMPER",2
"SLC22A23","SLC22A23",2
"RASA4","RASA4",2
"CPLX1","CPLX1",2
"PPP1R3E","PPP1R3E",2
"CNTN6","CNTN6",2
"INSM2","INSM2",2
"FHIT","FHIT",2
"PTPN21","PTPN21",2
"WFIKKN1","WFIKKN1",2
"SRCIN1","SRCIN1",2
"ACYP2","ACYP2",2
"CHN2","CHN2",2
"KCNJ6","KCNJ6",2
"ATP2B2","ATP2B2",2
"PPP2R5B","PPP2R5B",2
"DUSP8","DUSP8",2
"SHOX2","SHOX2",2
"TPPP","TPPP",2
"CD99L2","CD99L2",2
"ERC1.1","ERC1.1",2
"TTBK1","TTBK1",2
"TMEM178B","TMEM178B",2
"CARMIL3","CARMIL3",2
"TGFB3","TGFB3",2
"B3GALT2","B3GALT2",2
"CACNA1H","CACNA1H",2
"GABBR2","GABBR2",2
"LYST","LYST",2
"RGS7","RGS7",2
"ASIC1","ASIC1",2
"BMP1","BMP1",2
"TMEM120B","TMEM120B",2
"ATP2B3","ATP2B3",2
"SKI","SKI",2
"NKX6-1","NKX6-1",2
"OLFM1","OLFM1",2
"PAX3","PAX3",2
"MINDY1","MINDY1",2
"KIFC2","KIFC2",2
"REM1","REM1",2
"TPRG1L","TPRG1L",2
"MIB2","MIB2",2
"CEP170","CEP170",2
"SH3GLB2","SH3GLB2",2
"COMMD3","COMMD3",2
"DRGX","DRGX",2
"PRKG2","PRKG2",2
"MAB21L1","MAB21L1",2
"CXXC4","CXXC4",2
"CXCR4","CXCR4",2
"PRPH","PRPH",2
"FRMD3","FRMD3",2
"NRBP1","NRBP1",2
"JAG2","JAG2",2
"SNAP91","SNAP91",2
"FAM107B","FAM107B",2
"PHF14","PHF14",2
"LRRC4B","LRRC4B",2
"ZFYVE27","ZFYVE27",2
"SEMA6D","SEMA6D",2
"ZKSCAN1","ZKSCAN1",2
"FNIP2","FNIP2",2
"SOX11","SOX11",2
"GYG1","GYG1",2
"PPP1R17","PPP1R17",2
"TSPAN15","TSPAN15",2
"NRGN","NRGN",2
"UNC13A","UNC13A",2
"ESPN","ESPN",2
"SDK1","SDK1",2
"PHF21B","PHF21B",2
"SNX29","SNX29",2
"MYT1","MYT1",2
"ST18","ST18",2
"S100A1","S100A1",2
"GSTT2B","GSTT2B",2
"OSGEPL1","OSGEPL1",2
"C2CD2L","C2CD2L",2
"PIK3R3","PIK3R3",2
"VPS37D","VPS37D",2
"NCALD","NCALD",2
"C4A","C4A",2
"ZEB1","ZEB1",2
"ANTXR2","ANTXR2",2
"FRMD4A","FRMD4A",2
"CYHR1","CYHR1",2
"SS18L1","SS18L1",2
"PHLDA1","PHLDA1",2
"SNCG","SNCG",2
"PRKCE","PRKCE",2
"GKAP1","GKAP1",2
"ADAM11","ADAM11",2
"PTPRS","PTPRS",2
"RETSAT","RETSAT",2
"LRP12","LRP12",2
"MICU3","MICU3",2
"TNFAIP1","TNFAIP1",2
"RAI1","RAI1",2
"NKIRAS1","NKIRAS1",2
"TTC39A","TTC39A",2
"RHOB","RHOB",2
"NCOA1","NCOA1",2
"RETREG2","RETREG2",2
"DENND2A","DENND2A",2
"PALM","PALM",2
"CHGA","CHGA",2
"TRHDE","TRHDE",2
"ZBTB26","ZBTB26",2
"CYB5R4","CYB5R4",2
"ACE","ACE",2
"CLN8","CLN8",2
"NRG1","NRG1",2
"ASPHD1","ASPHD1",2
"XKR4","XKR4",2
"AADAT","AADAT",2
"SHISA2","SHISA2",2
"PRKCG","PRKCG",2
"ACHE","ACHE",2
"SLC25A53","SLC25A53",2
"WNT5B","WNT5B",2
"PLA2G6","PLA2G6",2
"KCNAB2","KCNAB2",2
"SH3PXD2B","SH3PXD2B",2
"SVOP","SVOP",2
"NRP1","NRP1",2
"GRM2","GRM2",2
"ARSD","ARSD",2
"PTP4A3","PTP4A3",2
"FAM171B","FAM171B",2
"PAM","PAM",2
"NTNG2","NTNG2",2
"RIPOR2","RIPOR2",2
"DNAJC5","DNAJC5",2
"ATP8A1","ATP8A1",2
"BMERB1","BMERB1",2
"HPCAL1","HPCAL1",2
"PHF24","PHF24",2
"GREB1L","GREB1L",2
"PACS2","PACS2",2
"CPE","CPE",2
"NRBP2","NRBP2",2
"DLGAP3","DLGAP3",2
"MTUS2","MTUS2",2
"JOSD2","JOSD2",2
"ELOVL2","ELOVL2",2
"HARBI1","HARBI1",2
"ATL2","ATL2",2
"ZNF608","ZNF608",2
"DOCK4","DOCK4",2
"CDKN2D","CDKN2D",2
"RGS20","RGS20",2
"GSTA4","GSTA4",2
"PTP4A1","PTP4A1",2
"PALMD","PALMD",2
"SAMD11","SAMD11",2
"TMEM63C","TMEM63C",2
"SCN3B","SCN3B",2
"IRAK4","IRAK4",2
"CKM","CKM",2
"ABHD15","ABHD15",2
"PAX6","PAX6",2
"SYK","SYK",2
"SMAD9","SMAD9",2
"RYR2","RYR2",2
"ELAPOR2","ELAPOR2",2
"PLEKHH3","PLEKHH3",2
"DDHD2","DDHD2",2
"ULBP2","ULBP2",2
"AFF3","AFF3",2
"ARL10","ARL10",2
"SNX14","SNX14",2
"NCAN","NCAN",2
"ANXA2","ANXA2",2
"NAXD","NAXD",2
"GGPS1","GGPS1",2
"ACADS","ACADS",2
"FAM8A1","FAM8A1",2
"PTTG1IP","PTTG1IP",2
"TCIRG1","TCIRG1",2
"REEP2","REEP2",2
"ZNF446","ZNF446",2
"ENTPD6","ENTPD6",2
"ABCA5","ABCA5",2
"DLG4","DLG4",2
"SEPTIN5","SEPTIN5",2
"RUFY3","RUFY3",2
"SPIN3","SPIN3",2
"CLSTN3","CLSTN3",2
"C1orf159","C1orf159",2
"CNTNAP2","CNTNAP2",2
"TPBGL","TPBGL",2
"CDH12","CDH12",2
"SPOCK3","SPOCK3",2
"ZNF536","ZNF536",2
"MXRA7","MXRA7",2
"SLCO5A1","SLCO5A1",2
"SLC1A2","SLC1A2",2
"LIX1L","LIX1L",2
"SFMBT2","SFMBT2",2
"AKAP6","AKAP6",2
"ZBTB4","ZBTB4",2
"KCNT2","KCNT2",2
"RET","RET",2
"TMCC1","TMCC1",2
"DCX","DCX",2
"DENND5A","DENND5A",2
"KIAA1107","KIAA1107",2
"DYNC1I1","DYNC1I1",2
"SEMA4G","SEMA4G",2
"KCNB2","KCNB2",2
"SYBU.1","SYBU.1",2
"ONECUT3","ONECUT3",2
"CYFIP1","CYFIP1",2
"PRRT2","PRRT2",2
"KCNQ2","KCNQ2",2
"DCHS2","DCHS2",2
"KLHL35","KLHL35",2
"NPDC1","NPDC1",2
"CHL1","CHL1",2
"IDS","IDS",2
"SLC22A15","SLC22A15",2
"EGFLAM","EGFLAM",2
"SCG2","SCG2",2
"GNG3","GNG3",2
"FRMD5","FRMD5",2
"PCDH17","PCDH17",2
"CACNB1","CACNB1",2
"FARP1","FARP1",2
"PTPRO","PTPRO",2
"IRX1","IRX1",2
"SULT4A1","SULT4A1",2
"ADPRHL1","ADPRHL1",2
"SLC4A8","SLC4A8",2
"TXNIP","TXNIP",2
"CRIM1","CRIM1",5
"RIMBP2","RIMBP2",5
"FAM219B","FAM219B",5
"ZBTB45","ZBTB45",5
"FAM13A","FAM13A",5
"FAM43A","FAM43A",5
"ZNF417","ZNF417",5
"GAS2","GAS2",5
"RASIP1","RASIP1",5
"RTN4RL2","RTN4RL2",5
"ADGRL3.1","ADGRL3.1",5
"MBP","MBP",5
"MVP","MVP",5
"FBXO9","FBXO9",5
"DYNLT3","DYNLT3",5
"RNF19A","RNF19A",5
"ATL1","ATL1",5
"OSBPL5","OSBPL5",5
"SYNJ1","SYNJ1",5
"MFSD1","MFSD1",5
"TENM4","TENM4",5
"MED12L","MED12L",5
"OTUD7A","OTUD7A",5
"BCL2","BCL2",5
"MYO5B.1","MYO5B.1",5
"SEMA6B","SEMA6B",5
"TNFAIP8L1","TNFAIP8L1",5
"FAM110A","FAM110A",5
"APBA2","APBA2",5
"SCGN","SCGN",5
"STMN2","STMN2",5
"SDCBP","SDCBP",5
"RUFY2","RUFY2",5
"C11orf95","C11orf95",5
"GPR50","GPR50",5
"GREB1","GREB1",5
"SZT2","SZT2",5
"ARHGAP10","ARHGAP10",5
"CCDC88B","CCDC88B",5
"SOS1","SOS1",5
"ZNF688","ZNF688",5
"MT-ND5","MT-ND5",5
"RAB3C","RAB3C",5
"MBOAT2","MBOAT2",5
"SNX19","SNX19",5
"CLN3","CLN3",5
"DNAJC6","DNAJC6",5
"NFASC.1","NFASC.1",5
"BAZ2B","BAZ2B",5
"DCAF10","DCAF10",5
"CKB","CKB",5
"MYO7A","MYO7A",5
"NOL3","NOL3",5
"CRACD","CRACD",5
"RIPOR3","RIPOR3",5
"MAN1A2","MAN1A2",5
"NDST1","NDST1",5
"KLHL22","KLHL22",5
"BTBD9","BTBD9",5
"TSPAN13","TSPAN13",5
"HSPA1L","HSPA1L",5
"YPEL5","YPEL5",5
"HYI","HYI",5
"HDAC5","HDAC5",5
"ZNF462","ZNF462",5
"NEUROG1","NEUROG1",5
"CAPN7","CAPN7",5
"IDUA","IDUA",5
"LOXL3","LOXL3",5
"SERPINB1","SERPINB1",5
"CTNNA2","CTNNA2",5
"SPRYD7","SPRYD7",5
"ZSCAN9","ZSCAN9",5
"USP30","USP30",5
"MAP4K4.1","MAP4K4.1",5
"SEMA3C","SEMA3C",5
"OPHN1","OPHN1",5
"PLGRKT","PLGRKT",5
"DOCK11","DOCK11",5
"ACSL6","ACSL6",5
"ULK3","ULK3",5
"ARMH3","ARMH3",5
"DACH1","DACH1",5
"ONECUT2","ONECUT2",5
"TMEM175","TMEM175",5
"CLCN5","CLCN5",5
"SYNE1","SYNE1",5
"MAN2B2","MAN2B2",5
"DOP1A","DOP1A",5
"TBC1D20","TBC1D20",5
"UBE3B","UBE3B",5
"PIK3IP1","PIK3IP1",5
"PCDHGB6","PCDHGB6",5
"SOS2","SOS2",5
"ITPRID2","ITPRID2",5
"PPFIA2","PPFIA2",5
"SLC25A14","SLC25A14",5
"NHLH2","NHLH2",5
"CPNE6","CPNE6",5
"GNAZ","GNAZ",5
"KDM1B","KDM1B",5
"MYO9A","MYO9A",5
"PRPF40A","PRPF40A",5
"TMEM53","TMEM53",5
"ZDHHC3","ZDHHC3",5
"CASD1","CASD1",5
"CHD9","CHD9",5
"NRP2","NRP2",5
"GRM4","GRM4",5
"RTN1","RTN1",5
"DOCK6","DOCK6",5
"WIPI1","WIPI1",5
"TMEM63B","TMEM63B",5
"AREL1","AREL1",5
"WDR19","WDR19",5
"REEP1","REEP1",5
"ARHGEF10L","ARHGEF10L",5
"THAP3","THAP3",5
"APBB3","APBB3",5
"INPP5E","INPP5E",5
"WDTC1","WDTC1",5
"HSPA14","HSPA14",5
"CERS6","CERS6",5
"STOML1","STOML1",5
"DGAT1","DGAT1",5
"CPEB3","CPEB3",5
"GNB1","GNB1",5
"HACD2","HACD2",5
"OGG1","OGG1",5
"CCDC32","CCDC32",5
"PKM","PKM",5
"SHB","SHB",5
"SDC2","SDC2",5
"GTDC1","GTDC1",5
"PROM2","PROM2",5
