Protein.Ids	pval	Difference
A0A494BAM1	0.636103069061647	1.17224725087484
A0A571BF12	0.5643893249092699	-0.404778798421223
F6ZHM5	0.9347940508677487	-0.336377143859863
A0A571BFB2	0.7849789876941164	-1.39224720001221
E9Q2T3	0.8642863848821053	-0.96075185139974
Q3UGX8	0.9025450493185528	-0.162884394327801
A0A5F8MPP0	0.9185110668982921	-0.452711741129558
A0A5F8MQ39	0.9781524155161897	0.0550200144449864
A0A5H1ZRL3	0.6418654091606668	-1.09217611948649
A0A668KL51	0.7455821927111386	1.02382278442383
A2A3V1	0.5523340020774462	-0.774971008300781
A2A432	0.9007110176141707	-0.123663584391277
A2A481	0.6013617693705823	2.08651955922445
Q3U1M7	0.9740571959356121	-0.0642668406168596
A2A4P0	0.677728666676452	-0.328700383504231
A2A5K6	0.6860741224362537	-1.57616074879964
A2A5R2	0.8367035823475839	0.590863863627117
V9GX87	0.9916691837946703	-0.0308221181233712
A2A601	0.95997628386175	-0.235824902852377
A2A690	0.8490736981259287	-0.450953165690104
A2A699	0.8739196423800819	-0.896601359049479
A2A6A1	0.673216276436195	-1.45137246449789
A2A6Q5	0.6415457754627153	-1.1469399134318
A2A791	0.6807217877732166	-0.135053634643555
A2A799	0.9692251070078215	-0.127883593241373
B1ASQ7	0.8400524683928576	-0.548107147216797
A2A7B5	0.8392232023533458	-0.13565953572591
E9Q532	0.8717038891699155	-0.211493174235027
A2A9J5	0.654427213289431	-0.45898946126302
A2A863	0.8605392858146088	-0.198931058247883
A2A8U2	0.9346355141509901	-0.105504353841145
A2A8Z1	0.8219301730279406	0.922396977742514
A2A991	0.9923587681922548	-0.0126266479492188
A2AAE1	0.9395554799649319	0.311211268107096
A2AAX3	0.928704235595238	-0.137057940165203
A2ABV5	0.8554501558257588	0.401391347249348
A2ACQ1	0.8342962999141269	-0.234648386637371
A2ADB0	0.9590800399157072	-0.285071690877279
A2ADY9	0.9867921605931185	-0.073672930399578
A2AFQ2	0.9757714527686417	0.07855224609375
A2AG10	0.7589109391989673	-0.754939715067547
O88933	0.9341663742486338	0.29274622599284
A2AG58	0.9387958855585673	-0.144602139790855
A2AGH6	0.9765553324942036	0.0842733383178711
A2AGT5	0.6960546981498764	1.39444478352864
A2AH22	0.769566904569191	-1.70411078135173
A2AHC3	0.6565065238350973	-0.679460843404135
A2AHJ4	0.6932773676585339	-0.351404190063477
A2AI08	0.7158929291310472	-1.2407439549764
A2AI93	0.9924157708706567	0.0934419631958008
A2AIE6	0.9890799456491512	0.0440041224161796
A2AIL4	0.8887837018126894	-0.420636177062988
A2AIV2	0.8029631368702068	-0.62339973449707
A2AJ15	0.7680132212497127	-0.523828188578287
F6W2V3	0.9581837130579076	0.099571863810219
A2AJI0	0.9466306783823045	0.240038553873697
A2AJK6	0.9167549865384053	0.152235666910808
P48410	0.28979663338270156	2.05381552378337
A2AKX3	0.9123302035003741	-0.227844874064129
A2AL36	0.9009518489007668	0.724360466003418
Q8JZY1	0.7818726697287859	0.715789159138998
A2ALU4	0.9190156348479387	0.382964452107748
A2AM29	0.47458340644047636	-0.914860407511394
D3Z7P3	0.2659609595397958	-2.91176732381185
A2AN08	0.8917070787876326	0.622492472330729
F7AT58	0.9683144444157988	0.038148244222004
A2AQA1	0.8857504628683146	-0.418249448140463
A2ANX9	0.774108182477665	-1.34179401397705
J3QMC5	0.8921033115617076	0.122076034545898
A2APB8	0.6645497272804403	1.44826316833496
A2API8	0.9230139065039132	0.232547124226887
A2APY7	0.8376651075826629	-0.502354621887207
